rt,key_press,correct,coherent_movement_direction,coherent_orientation,task_type,task_transition,congruency,id,run
721,f,TRUE,180,0,mov,null,incongruent,1,1
1042,j,FALSE,0,180,or,switch,incongruent,1,1
973,j,TRUE,0,0,or,repetition,congruent,1,1
982,j,TRUE,0,0,mov,switch,congruent,1,1
1148,j,TRUE,0,0,or,switch,congruent,1,1
808,j,TRUE,0,180,mov,switch,incongruent,1,1
769,f,TRUE,180,180,or,switch,congruent,1,1
893,f,TRUE,0,180,or,repetition,incongruent,1,1
793,j,TRUE,180,0,or,repetition,incongruent,1,1
803,f,TRUE,0,180,or,repetition,incongruent,1,1
671,j,TRUE,0,0,mov,switch,congruent,1,1
762,f,TRUE,0,180,or,switch,incongruent,1,1
794,f,TRUE,180,180,or,repetition,congruent,1,1
763,f,TRUE,180,180,mov,switch,congruent,1,1
702,j,TRUE,0,180,mov,repetition,incongruent,1,1
836,f,TRUE,180,180,or,switch,congruent,1,1
738,f,TRUE,180,180,mov,switch,congruent,1,1
859,f,TRUE,180,180,mov,repetition,congruent,1,1
563,j,TRUE,0,0,or,switch,congruent,1,1
617,f,TRUE,180,180,or,repetition,congruent,1,1
749,j,TRUE,180,0,or,repetition,incongruent,1,1
993,f,TRUE,180,0,mov,switch,incongruent,1,1
526,f,TRUE,180,180,mov,repetition,congruent,1,1
655,f,TRUE,180,180,mov,repetition,congruent,1,1
760,f,FALSE,180,0,or,switch,incongruent,1,1
794,f,TRUE,0,180,or,repetition,incongruent,1,1
829,f,FALSE,180,0,or,repetition,incongruent,1,1
773,j,TRUE,180,0,or,repetition,incongruent,1,1
763,f,TRUE,180,180,mov,switch,congruent,1,1
621,j,TRUE,0,180,mov,repetition,incongruent,1,1
836,j,TRUE,180,0,or,switch,incongruent,1,1
625,j,TRUE,0,180,mov,switch,incongruent,1,1
772,j,TRUE,0,0,or,switch,congruent,1,1
825,j,TRUE,0,180,mov,switch,incongruent,1,1
659,j,TRUE,180,0,or,switch,incongruent,1,1
749,j,TRUE,0,0,mov,switch,congruent,1,1
638,j,TRUE,0,0,mov,repetition,congruent,1,1
726,j,TRUE,0,0,mov,repetition,congruent,1,1
673,f,TRUE,180,180,or,switch,congruent,1,1
743,j,TRUE,0,0,or,repetition,congruent,1,1
690,f,TRUE,180,180,or,repetition,congruent,1,1
926,f,FALSE,180,0,or,repetition,incongruent,1,1
591,j,TRUE,0,0,mov,switch,congruent,1,1
592,f,TRUE,180,180,mov,repetition,congruent,1,1
571,j,TRUE,0,0,mov,repetition,congruent,1,1
680,j,TRUE,0,180,mov,repetition,incongruent,1,1
674,j,TRUE,0,180,mov,repetition,incongruent,1,1
704,f,TRUE,180,0,mov,repetition,incongruent,1,1
